survey_idno,sid,file_id,vid,name,labl,var_intrvl,var_dcml,var_wgt,var_start_pos,var_end_pos,var_width,var_imputation,var_security,var_respunit,var_qstn_preqtxt,var_qstn_qstnlit,var_qstn_postqtxt,var_qstn_ivulnstr,var_universe,var_sumstat,var_txt,var_catgry,var_codinstr,var_concept,var_format,var_notes
DANE-DCD-EEVV-2019,696,F23,V1345,MES,"Mes en que ocurrió la defunción",discrete,0,,,,,,"El acceso a microdatos y Mam-up se considera como de tratamiento especial respecto a la reserva estadística por tanto estará sujeto a la reglamentación que para el efecto defina el Comité de Aseguramiento de la reserva estadística. Resolución 173 de 2008.",,"Año en que ocurrió la defunción

2019","Mes en que ocurrió la defunción

01= Enero 
02= Febrero
03= Marzo
04= Abril
05= Mayo
06= Junio
07= Julio
08= Agosto
09= Septiembre
10= Octubre
11= Noviembre
12= Diciembre"
